file1 file2 intersection union jaccard n_intersections
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed 48358357 197919828 0.244333 78641
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed 21373615 157761543 0.135481 55712
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed 33012292 153110329 0.215611 71735
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed 37520373 155982051 0.240543 77072
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed 40755556 175995398 0.231572 66280
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed 102068188 102068188 1 155202
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed 72142840 143866709 0.501456 119432
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed 87322785 142567240 0.612503 133631
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed 46346050 168556878 0.274958 81750
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed 33327959 132136698 0.252223 63896
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed 41711575 160514372 0.259862 79614
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed 43740256 156460674 0.279561 79147
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed 37384360 151157422 0.247321 70535
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed 52436880 171852193 0.305128 88227
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed 58807684 182656264 0.321958 95402
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed 55338821 170930118 0.323751 92189
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed 50741522 155100091 0.327153 86413
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed 51038755 158274099 0.322471 88099
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed 51857564 158203831 0.32779 93058
