repository	dataset_id	file_accession	target	assembly	file_format	output_type	output_category	download_url	retrieved_at_utc
ENCODE	ENCSR180YHA	ENCFF480ZIG	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF480ZIG/@@download/ENCFF480ZIG.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR181OHF	ENCFF307QYO	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF307QYO/@@download/ENCFF307QYO.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR189JIH	ENCFF317AKQ	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF317AKQ/@@download/ENCFF317AKQ.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR189QAD	ENCFF826XYT	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF826XYT/@@download/ENCFF826XYT.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR191ZQT	ENCFF059WXH	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF059WXH/@@download/ENCFF059WXH.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR194KGO	ENCFF346GZD	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF346GZD/@@download/ENCFF346GZD.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR195CFR	ENCFF685EHR	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF685EHR/@@download/ENCFF685EHR.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR195JWZ	ENCFF977VRL	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF977VRL/@@download/ENCFF977VRL.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR200ETW	ENCFF435HDB	H3K27ac	GRCh38	bed narrowPeak	replicated peaks	annotation	https://www.encodeproject.org/files/ENCFF435HDB/@@download/ENCFF435HDB.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR200JVJ	ENCFF384SYD	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF384SYD/@@download/ENCFF384SYD.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR203KCB	ENCFF065ZDX	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF065ZDX/@@download/ENCFF065ZDX.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR203KEU	ENCFF628MEK	H3K27ac	GRCh38	bed narrowPeak	replicated peaks	annotation	https://www.encodeproject.org/files/ENCFF628MEK/@@download/ENCFF628MEK.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR204OJS	ENCFF270YSJ	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF270YSJ/@@download/ENCFF270YSJ.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR204TAU	ENCFF171IFG	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF171IFG/@@download/ENCFF171IFG.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR207ABA	ENCFF003TGC	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF003TGC/@@download/ENCFF003TGC.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR207FYD	ENCFF300SDH	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF300SDH/@@download/ENCFF300SDH.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR208QRN	ENCFF671OTP	H3K27ac	GRCh38	bed narrowPeak	replicated peaks	annotation	https://www.encodeproject.org/files/ENCFF671OTP/@@download/ENCFF671OTP.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR209QGZ	ENCFF835MQW	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF835MQW/@@download/ENCFF835MQW.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR210ZPC	ENCFF002NFJ	H3K27ac	GRCh38	bed narrowPeak	replicated peaks	annotation	https://www.encodeproject.org/files/ENCFF002NFJ/@@download/ENCFF002NFJ.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR213SMK	ENCFF077GUP	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF077GUP/@@download/ENCFF077GUP.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR214UZE	ENCFF379RWI	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF379RWI/@@download/ENCFF379RWI.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR217SDT	ENCFF175UON	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF175UON/@@download/ENCFF175UON.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR220TRW	ENCFF272ROP	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF272ROP/@@download/ENCFF272ROP.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR222QLW	ENCFF963JHV	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF963JHV/@@download/ENCFF963JHV.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR223UPC	ENCFF607YSA	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF607YSA/@@download/ENCFF607YSA.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR227FYJ	ENCFF374VCX	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF374VCX/@@download/ENCFF374VCX.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR230BWN	ENCFF512JNT	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF512JNT/@@download/ENCFF512JNT.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR230IMS	ENCFF976KNB	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF976KNB/@@download/ENCFF976KNB.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR233RWF	ENCFF970PFD	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF970PFD/@@download/ENCFF970PFD.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR235KRX	ENCFF594VVB	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF594VVB/@@download/ENCFF594VVB.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR235ZBF	ENCFF661WLX	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF661WLX/@@download/ENCFF661WLX.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR240GDT	ENCFF749JEY	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF749JEY/@@download/ENCFF749JEY.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR242AHB	ENCFF077BWP	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF077BWP/@@download/ENCFF077BWP.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR242TBH	ENCFF219QRU	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF219QRU/@@download/ENCFF219QRU.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR245GEV	ENCFF714JDQ	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF714JDQ/@@download/ENCFF714JDQ.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR249IKQ	ENCFF460DVR	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF460DVR/@@download/ENCFF460DVR.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR249INE	ENCFF531DLB	H3K27ac	GRCh38	bed narrowPeak	replicated peaks	annotation	https://www.encodeproject.org/files/ENCFF531DLB/@@download/ENCFF531DLB.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR250EHC	ENCFF551MDA	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF551MDA/@@download/ENCFF551MDA.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR250NHD	ENCFF779CYV	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF779CYV/@@download/ENCFF779CYV.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR251PPB	ENCFF010VMY	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF010VMY/@@download/ENCFF010VMY.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR262JRZ	ENCFF810ZTP	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF810ZTP/@@download/ENCFF810ZTP.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR267YXV	ENCFF775EFB	H3K27ac	GRCh38	bed narrowPeak	replicated peaks	annotation	https://www.encodeproject.org/files/ENCFF775EFB/@@download/ENCFF775EFB.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR268JQE	ENCFF554TER	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF554TER/@@download/ENCFF554TER.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR268ZCF	ENCFF067IPT	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF067IPT/@@download/ENCFF067IPT.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR278JAH	ENCFF289MDK	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF289MDK/@@download/ENCFF289MDK.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR279KIX	ENCFF588AEO	H3K27ac	GRCh38	bed narrowPeak	replicated peaks	annotation	https://www.encodeproject.org/files/ENCFF588AEO/@@download/ENCFF588AEO.bed.gz	2026-07-24T19:57:09+00:00
