resource	assembly	marker	identifier	cell_type	processed_file_download_url
Roadmap	hg19	H2AK5ac	NGRMP2JWUQUJRW	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2AK5ac.AK170.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP3PBA2PREJ	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.IMR90.H2AK5ac.YL60.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP3TKQEQXKF	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.IMR90.H2AK5ac.YL60.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP4AA7BOJHF	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H9.H2AK5ac.AK28.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP4H55X2LLX	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2AK5ac.SK523.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP5GOH53MVA	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2AK5ac.SK523.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP6E3YFIVCA	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.IMR90.H2AK5ac.YL20.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP7KALQIDMO	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2AK5ac.AK126.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP7RHUXFXXP	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2AK5ac.CY7.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMP7WFIC6Z7N	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H9.H2AK5ac.SK193.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPCYNHJZGU2	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1.H2AK5ac.YL97.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPDDOOG2PJO	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H9.H2AK5ac.AK28.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPE7ETFQM3H	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1.H2AK5ac.YL97.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPEDQYPZL4Q	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2AK5ac.CY7.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPEFKRZ2OE5	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.IMR90.H2AK5ac.YL20.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPELNFLFYFV	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2AK5ac.SK522.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPF5K7NVHHA	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2AK5ac.AK170.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPG73G4W3L7	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2AK5ac.AY222.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPHLDQQOU2B	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H9.H2AK5ac.AK28.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPHWG5NLLTJ	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1.H2AK5ac.SAK201.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPI35LQNXGM	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1.H2AK5ac.YL97.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPJNW3UQQGP	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2AK5ac.AY222.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPL2GDKKO27	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2AK5ac.SK522.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPLGDYI6F45	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2AK5ac.AK420.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPLKQRUJBCK	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H9.H2AK5ac.SK193.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPLMIWY4Y6M	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2AK5ac.AK420.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPLMZ3CAR3V	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2AK5ac.AK126.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPMBYVN37K3	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2AK5ac.AY222.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPMGXXBAOCD	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2AK5ac.AY69.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPNGVR7ICFR	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.IMR90.H2AK5ac.YL60.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPNK25VCFCV	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2AK5ac.AK126.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPO2D4UVO5F	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2AK5ac.AY69.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPPQABIU4HR	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2AK5ac.SK523.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPRDPD63WHW	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1.H2AK5ac.SAK201.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPU3FYOERTX	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2AK5ac.AK420.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPW6KW2DU7W	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.IMR90.H2AK5ac.YL20.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPWIPIF6RLQ	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H9.H2AK5ac.SK193.broadPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPWQ73K7YTO	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2AK5ac.SK522.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPY26I4XB6C	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2AK5ac.CY7.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPYOAK2ZAUR	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2AK5ac.AY69.gappedPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPZEUGQDGN5	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1.H2AK5ac.SAK201.narrowPeak.bed.gz
Roadmap	hg19	H2AK5ac	NGRMPZKZ36IBB7	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2AK5ac.AK170.narrowPeak.bed.gz
Roadmap	hg19	H2AK9ac	NGRMP2IQOGPEAI	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.IMR90.H2AK9ac.AY6.gappedPeak.bed.gz
Roadmap	hg19	H2AK9ac	NGRMPBBJPLHX6E	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.IMR90.H2AK9ac.AY6.broadPeak.bed.gz
Roadmap	hg19	H2AK9ac	NGRMPEWRSYZUMI	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.IMR90.H2AK9ac.AY7.narrowPeak.bed.gz
Roadmap	hg19	H2AK9ac	NGRMPOHNP2K3FC	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.IMR90.H2AK9ac.AY6.narrowPeak.bed.gz
Roadmap	hg19	H2AK9ac	NGRMPSPH5JI52C	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.IMR90.H2AK9ac.AY7.broadPeak.bed.gz
Roadmap	hg19	H2AK9ac	NGRMPVTD5UTFCM	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.IMR90.H2AK9ac.AY7.gappedPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMP3SZSIY6LM	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H9.H2A.Z.SK532.narrowPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMP4OKQNZICR	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.IMR90.H2A.Z.AY5.gappedPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMP52PNT6YFB	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2A.Z.AY68.broadPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMP7RNXFJ5EA	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.IMR90.H2A.Z.AY5.broadPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPANMHNAFOV	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2A.Z.AK278.broadPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPCCJR4X5OI	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2A.Z.AY221.gappedPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPDI7X6US3H	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2A.Z.AY221.narrowPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPDOLA245QL	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.IMR90.H2A.Z.AY4.gappedPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPER33C7GJ3	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.IMR90.H2A.Z.AY5.narrowPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPHEZXVDFMR	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2A.Z.AK278.narrowPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPJVKGAXRLG	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2A.Z.AY221.broadPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPKCSWNQ2NC	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1.H2A.Z.AY1.narrowPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPM6PR63BJL	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1.H2A.Z.AY1.broadPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPMK746BM6U	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2A.Z.AY68.gappedPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPNOX67PYC2	Neuron	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/BI.H9_Derived_Neuron_Cultured_Cells.H2A.Z.DNA_Lib_294.broadPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPP3V2HAVX3	Neuron	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.H9_Derived_Neuron_Cultured_Cells.H2A.Z.DNA_Lib_294.gappedPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPQ5MUVRPXG	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.IMR90.H2A.Z.AY4.narrowPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPRMM27ZQUE	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2A.Z.AK278.gappedPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPVOLGT2HFK	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2A.Z.AY68.narrowPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPW5ZUY5DSO	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H9.H2A.Z.SK532.gappedPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPWQHS3LW7T	Neuron	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.H9_Derived_Neuron_Cultured_Cells.H2A.Z.DNA_Lib_294.narrowPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPXFU6NRWB2	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1.H2A.Z.AY1.gappedPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPYBQ2GPM7T	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H9.H2A.Z.SK532.broadPeak.bed.gz
Roadmap	hg19	H2AZ	NGRMPYW56EW7BE	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.IMR90.H2A.Z.AY4.broadPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP2ACM3I5GS	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2BK120ac.AK395.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP2S7DPFJY2	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.IMR90.H2BK120ac.YL06.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP32DPF6OCX	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1.H2BK120ac.AK146.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP3BQINXT4R	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.IMR90.H2BK120ac.SK15.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP44Q4XQFYT	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1.H2BK120ac.SK530.broadPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP4EF2SHJ5Y	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2BK120ac.AY223.broadPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP5ZZWXSDRM	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.IMR90.H2BK120ac.SK15.broadPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP66RFHRUMA	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2BK120ac.AK395.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP67RB2RL4K	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK120ac.AK421.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMP6ZI3GQFQH	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1.H2BK120ac.SK530.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPAKUMJV2W5	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2BK120ac.AY223.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPCHNXYANMT	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H2BK120ac.AK395.broadPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPD3TT3BLHI	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1.H2BK120ac.SAK206.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPEKTGDRGJY	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK120ac.CY8.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPENLAJTHRO	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.IMR90.H2BK120ac.SK15.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPF46SZZLF5	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK120ac.CY8.broadPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPH3FN2WL6U	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2BK120ac.AY71.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPHUNVQT5NL	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2BK120ac.AY71.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPIFQYGA6CP	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1.H2BK120ac.SAK206.broadPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPIY3CEMRWM	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2BK120ac.AK401.broadPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPJMUFUJPOW	H9	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H9.H2BK120ac.SK378.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPJYKE3G3FP	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1.H2BK120ac.SAK206.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPMDTEZXLPP	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1.H2BK120ac.SK530.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPMERTREOBN	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2BK120ac.AK410.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPNUX6C2WTZ	IMR-90	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.IMR90.H2BK120ac.YL06.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPQ53FC5AOK	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H2BK120ac.AK401.narrowPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPQD4O5REDH	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK120ac.CY8.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPR36NVBMZA	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK120ac.AK421.gappedPeak.bed.gz
Roadmap	hg19	H2BK120ac	NGRMPU4JLRAJNF	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H2BK120ac.AY71.broadPeak.bed.gz
