resource	assembly	marker	identifier	cell_type	processed_file_download_url
Roadmap	hg19	H3K4me3	NGRMPHU2YTHU74	Adrenal gland	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UW.Fetal_Adrenal_Gland.H3K4me3.H-24800.Histone.DS23063.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPHVYXTQCXS	Ventricle	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.Right_Ventricle.H3K4me3.STL003.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPHXTKXQNG5	Skeletal muscle	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.Skeletal_Muscle.H3K4me3.63.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPHY4IJS4KT	Psoas muscle	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.Psoas_Muscle.H3K4me3.STL001.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPI2HMDD5CX	Hippocampus middle	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.Brain_Hippocampus_Middle.H3K4me3.150.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPI3JQNY4ST	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.60.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPI524ZIFC6	Smooth muscle tissue	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/BI.Duodenum_Smooth_Muscle.H3K4me3.160.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIA6TKZWZO	HUES64	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.HUES64.H3K4me3.Lib_MC_20101025_02--ChIP_MC_20101020_02_ES_cell_HUES_64_H3K4Me3.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIBHZANG2X	CD34+	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/BI.CD34_Primary_Cells.H3K4me3.CD34_39804.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPICALUVIJ4	Left ventricle	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.Left_Ventricle.H3K4me3.STL003.gappedPeak.bed.gz
