seed,peak_type,cell,k,w,n_xref,n_diff,median_xref_reg,median_diff_reg,delta_reg,separated_reg,median_xref_ie,median_diff_ie,delta_ie,separated_ie,matrix,rank_ie
99,narrow,k8_w75,8,75,18,54,0.9802707042899748,0.9169099483494274,0.06336075594054735,True,0.9802664441412735,0.9168922246206955,0.06337421952057798,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k8_w75/exp_a_mnmzr_p24_jaccD_k8_w75_rehash-selector64_full.csv,51
99,narrow,k10_w10,10,10,18,54,0.9933645901065848,0.9091546382274525,0.08420995187913238,True,0.9933537531848744,0.9088679874447928,0.0844857657400816,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k10_w10/exp_a_mnmzr_p24_jaccD_k10_w10_rehash-selector64_full.csv,46
99,narrow,k10_w15,10,15,18,54,0.9917105109910421,0.8950303067472121,0.09668020424383006,True,0.9916978558934676,0.8948539868048668,0.09684386908860076,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k10_w15/exp_a_mnmzr_p24_jaccD_k10_w15_rehash-selector64_full.csv,45
99,narrow,k10_w20,10,20,18,54,0.9896243836503131,0.887383747033545,0.10224063661676819,True,0.9896196605988968,0.8871973346484214,0.1024223259504754,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k10_w20/exp_a_mnmzr_p24_jaccD_k10_w20_rehash-selector64_full.csv,44
99,narrow,k10_w25,10,25,18,54,0.9880956005480286,0.8838414962946985,0.10425410425333004,True,0.9881245485010971,0.8836758916229975,0.10444865687809957,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k10_w25/exp_a_mnmzr_p24_jaccD_k10_w25_rehash-selector64_full.csv,43
99,narrow,k10_w30,10,30,18,54,0.9873568426757647,0.8801739584552634,0.10718288422050137,True,0.9873774128031108,0.8800505161908637,0.10732689661224704,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k10_w30/exp_a_mnmzr_p24_jaccD_k10_w30_rehash-selector64_full.csv,42
99,narrow,k10_w50,10,50,18,54,0.9831348649104084,0.8715304863346902,0.11160437857571814,True,0.9831258930721397,0.8714002319592615,0.11172566111287818,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k10_w50/exp_a_mnmzr_p24_jaccD_k10_w50_rehash-selector64_full.csv,41
99,narrow,k10_w75,10,75,18,54,0.9804022057768393,0.86710025513405,0.11330195064278936,True,0.9803756178082352,0.867123230086143,0.11325238772209223,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k10_w75/exp_a_mnmzr_p24_jaccD_k10_w75_rehash-selector64_full.csv,40
99,narrow,k15_w15,15,15,18,54,0.9531674723878857,0.41844740316816015,0.5347200692197256,True,0.9492821037263092,0.3904051640793695,0.5588769396469397,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k15_w15/exp_a_mnmzr_p24_jaccD_k15_w15_rehash-selector64_full.csv,31
99,narrow,k15_w20,15,20,18,54,0.9509292128548165,0.4115116850029981,0.5394175278518183,True,0.9478109030753077,0.3897160965064764,0.5580948065688314,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k15_w20/exp_a_mnmzr_p24_jaccD_k15_w20_rehash-selector64_full.csv,32
99,narrow,k15_w25,15,25,18,54,0.9490440297523448,0.4069344072122544,0.5421096225400904,True,0.9463947752526044,0.3890779468149121,0.5573168284376924,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k15_w25/exp_a_mnmzr_p24_jaccD_k15_w25_rehash-selector64_full.csv,33
99,narrow,k15_w30,15,30,18,54,0.9475044892705679,0.4037872666961701,0.5437172225743978,True,0.945219371251818,0.38874441552550354,0.5564749557263144,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k15_w30/exp_a_mnmzr_p24_jaccD_k15_w30_rehash-selector64_full.csv,34
99,narrow,k15_w50,15,50,18,54,0.9430173941264175,0.39683658147095185,0.5461808126554657,True,0.9414933508569159,0.38769685804064424,0.5537964928162716,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k15_w50/exp_a_mnmzr_p24_jaccD_k15_w50_rehash-selector64_full.csv,37
99,narrow,k15_w75,15,75,18,54,0.9400991546809521,0.39276037275363535,0.5473387819273168,True,0.939092878873666,0.3866648856761093,0.5524279931975566,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k15_w75/exp_a_mnmzr_p24_jaccD_k15_w75_rehash-selector64_full.csv,38
99,narrow,k20_w20,20,20,18,54,0.9374465057961439,0.3644298865799161,0.5730166192162278,True,0.9328053405524602,0.337591349020067,0.5952139915323933,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k20_w20/exp_a_mnmzr_p24_jaccD_k20_w20_rehash-selector64_full.csv,1
99,narrow,k20_w25,20,25,18,54,0.9351852712178554,0.35878408023058705,0.5764011909872684,True,0.9312710358486874,0.336865821676363,0.5944052141723244,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k20_w25/exp_a_mnmzr_p24_jaccD_k20_w25_rehash-selector64_full.csv,2
99,narrow,k20_w30,20,30,18,54,0.9331060273099178,0.3551890498190066,0.5779169774909112,True,0.9297828892126324,0.33641870354058123,0.5933641856720512,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k20_w30/exp_a_mnmzr_p24_jaccD_k20_w30_rehash-selector64_full.csv,3
99,narrow,k20_w35,20,35,18,54,0.9315198260054153,0.3526061326671011,0.5789136933383141,True,0.9285549381516242,0.33612488229010995,0.5924300558615142,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k20_w35/exp_a_mnmzr_p24_jaccD_k20_w35_rehash-selector64_full.csv,4
99,narrow,k20_w40,20,40,18,54,0.9299697466836014,0.35038857698572795,0.5795811696978734,True,0.9272759489221976,0.33587814893879564,0.5913977999834019,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k20_w40/exp_a_mnmzr_p24_jaccD_k20_w40_rehash-selector64_full.csv,5
99,narrow,k20_w50,20,50,18,54,0.9276003754498348,0.34671418161619544,0.5808861938336394,True,0.9253745766792747,0.3350237987627714,0.5903507779165034,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k20_w50/exp_a_mnmzr_p24_jaccD_k20_w50_rehash-selector64_full.csv,7
99,narrow,k20_w60,20,60,18,54,0.9256575415995706,0.34418186406852774,0.5814756775310428,True,0.9238030672049177,0.33446284158903744,0.5893402256158802,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k20_w60/exp_a_mnmzr_p24_jaccD_k20_w60_rehash-selector64_full.csv,9
99,narrow,k20_w75,20,75,18,54,0.9233318960340384,0.34151234681427284,0.5818195492197655,True,0.9218067150809971,0.3337507432143967,0.5880559718666004,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k20_w75/exp_a_mnmzr_p24_jaccD_k20_w75_rehash-selector64_full.csv,11
