precision,num_files,build,arm,run_index,order_position,threads,num_intervals,n_pairs,sketch_time,comparison_time,pair_time,write_time,wall_time,cpu_time,max_rss_mb,us_per_pair,binary_md5,hostname,cpu_model,cpu_count,slurm_job_id,git_sha,corpus_seed
14,64,pre,metrics,0,1,16,10000,4096,5.283761,0.015736,0.008955,0.00678,5.30443549156189,84.24935900000008,7.36328125,2.186279296875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,no_metrics,0,2,16,10000,4096,5.303658,0.00465,0.003405,0.001245,5.316330432891846,84.41771800000004,7.30078125,0.831298828125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,metrics,0,3,16,10000,4096,5.303849,0.012384,0.005567,0.006816,5.321058511734009,84.48610199999985,7.30078125,1.359130859375,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,pre,no_metrics,1,0,16,10000,4096,5.290338,0.004679,0.003383,0.001296,5.300268173217773,84.1877540000002,7.36328125,0.825927734375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,pre,metrics,1,1,16,10000,4096,5.284638,0.015796,0.008999,0.006797,5.3058202266693115,84.2670530000001,7.36328125,2.197021484375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,metrics,1,2,16,10000,4096,5.301268,0.012356,0.005505,0.006851,5.318783521652222,84.47518599999972,7.30078125,1.343994140625,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,no_metrics,1,3,16,10000,4096,5.302858,0.00465,0.0034,0.001249,5.312340974807739,84.40924899999992,7.30078125,0.830078125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,pre,no_metrics,2,0,16,10000,4096,5.283579,0.004697,0.003414,0.001282,5.2937891483306885,84.09299600000028,7.36328125,0.83349609375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,no_metrics,2,1,16,10000,4096,5.303534,0.004677,0.00341,0.001266,5.313406229019165,84.39302300000007,7.30078125,0.83251953125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,pre,metrics,2,2,16,10000,4096,5.285449,0.015824,0.009024,0.0068,5.307338237762451,84.25710000000002,7.36328125,2.203125,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,metrics,2,3,16,10000,4096,5.303566,0.012317,0.00549,0.006826,5.320936441421509,84.49939899999974,7.30078125,1.34033203125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,pre,no_metrics,3,0,16,10000,4096,5.286435,0.004634,0.003372,0.001262,5.296147584915161,84.13368600000017,7.36328125,0.8232421875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,no_metrics,3,1,16,10000,4096,5.302431,0.004649,0.003387,0.001262,5.312659740447998,84.39350899999977,7.30078125,0.826904296875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,metrics,3,2,16,10000,4096,5.303406,0.012354,0.005506,0.006847,5.320919036865234,84.48643100000011,7.30078125,1.34423828125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,pre,metrics,3,3,16,10000,4096,5.289723,0.015756,0.008976,0.006779,5.31062650680542,84.3191110000001,7.36328125,2.19140625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,pre,no_metrics,4,0,16,10000,4096,5.287205,0.00465,0.003368,0.001282,5.29742956161499,84.15312799999987,7.36328125,0.822265625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,metrics,4,1,16,10000,4096,5.30282,0.012335,0.005485,0.006849,5.320328712463379,84.49467899999993,7.30078125,1.339111328125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,pre,metrics,4,2,16,10000,4096,5.285729,0.015781,0.008974,0.006806,5.306741714477539,84.26437000000021,7.36328125,2.19091796875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
14,64,post,no_metrics,4,3,16,10000,4096,5.300126,0.004634,0.003389,0.001245,5.310065031051636,84.35856899999982,7.37109375,0.827392578125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,no_metrics,0,0,16,10000,4096,5.880935,0.014487,0.013226,0.00126,5.900623321533203,93.70642400000011,14.2578125,3.22900390625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,metrics,0,1,16,10000,4096,5.876378,0.041829,0.034982,0.006847,5.9239418506622314,94.06118000000001,14.28125,8.54052734375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
