file1,file2,sketch_type,mode,precision,num_hashes,kmer_size,window_size,jaccard_similarity,containment
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,1.0,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.4909210205078125,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.3926277160644531,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.37023162841796875,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.3748207092285156,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.3629646301269531,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.35501861572265625,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.357940673828125,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.37054443359375,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.34822845458984375,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.4066314697265625,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.3951911926269531,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.4005088806152344,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.410186767578125,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.4122276306152344,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.4133644104003906,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.4133453369140625,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.38832855224609375,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.3105735778808594,1.0
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.3973731994628906,1.0
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.4909210205078125,1.0
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,1.0,1.0
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,18,NA,8,40,0.38370513916015625,1.0
