file1,file2,sketch_type,mode,precision,num_hashes,kmer_size,window_size,jaccard_similarity,jaccard_similarity_ie,containment_AB,containment_BA,cosketch_geom,cosketch_arith,cosketch_max
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3102715755156459,0.15615547638704205,0.2302646706615453,0.3266857766130934,0.2742702914309625,0.27847522363731936,0.3266857766130934
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.39652531105581657,0.2489073504861579,0.355047945706167,0.45433106762765385,0.40163330568030353,0.4046895066669104,0.45433106762765385
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.48871731758117676,0.3537425010356615,0.46952193220872884,0.5892442570557637,0.525987739510836,0.5293830946322462,0.5892442570557637
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3838472366333008,0.23147146344326658,0.3551872813698334,0.3992381192153424,0.3765691200607173,0.3772127002925879,0.3992381192153424
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.36496615409851074,0.20961204889352636,0.345340721745307,0.34782279886042616,0.3465795383428345,0.3465817603028666,0.34782279886042616
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3789668083190918,0.22583886347972204,0.3894703712740159,0.349608000341805,0.36900129768537276,0.36953918580791045,0.3894703712740159
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3515810966491699,0.1948583405040927,0.32351487037270343,0.32885160709826367,0.3261723241512835,0.32618323873548355,0.32885160709826367
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.32041501998901367,0.17873177600528867,0.23543128297958796,0.42599377896111723,0.3166895355425228,0.3307125309703526,0.42599377896111723
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3404393196105957,0.183361710221766,0.2903272006805543,0.3323019034668008,0.3106063125796642,0.31131455207367753,0.3323019034668008
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.34761786460876465,0.19152325047390725,0.29825706397543916,0.348615993098654,0.3224549310469395,0.3234365285370466,0.348615993098654
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.32996392250061035,0.1753391273161143,0.2616753547049102,0.3470168531941682,0.3013399378578381,0.3043461039495392,0.3470168531941682
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3898189067840576,0.23767601555905338,0.3965891359091898,0.3723137261005041,0.3842597805148617,0.38445143100484697,0.3965891359091898
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.4065181016921997,0.25846235632815373,0.45499417787624,0.37436287345779573,0.4127140993912331,0.4146785256670179,0.45499417787624
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.40161561965942383,0.2509587998448493,0.41774322839255545,0.3859658453008026,0.4015403071488825,0.40185453684667904,0.41774322839255545
