precision,k,w,column,reference,n,pearson,spearman,mae,rmse,frob,max_err,ari,nmi,path
10,8,8,jaccard_similarity,bedtools,400,0.6175654001767509,0.42323141323784336,0.6232434630733749,0.647432807151988,12.94865614303976,0.8195532130987292,0.4328358208955224,0.7865335131227622,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w8.csv
10,8,8,jaccard_similarity,mode_B,400,0.6096749767012377,0.41688385729967575,0.49228902174463957,0.5126885698613558,10.253771397227116,0.672351794275487,0.4328358208955224,0.7865335131227622,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w8.csv
10,8,10,jaccard_similarity,bedtools,400,0.607763967045733,0.3922597573835951,0.6068018496737537,0.6307466082562044,12.614932165124088,0.8078230078201368,0.12111017661900757,0.6793810987342046,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w10.csv
10,8,10,jaccard_similarity,mode_B,400,0.5952689421082872,0.3778074701196748,0.4758474083450183,0.49608949544049025,9.921789908809805,0.6606215889968946,0.12111017661900757,0.6793810987342046,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w10.csv
10,8,20,jaccard_similarity,bedtools,400,0.6077117361569644,0.3165030171490782,0.5179739967366203,0.5413941214095472,10.827882428190945,0.7069346875,0.08915054667788058,0.6429193339871365,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w20.csv
10,8,20,jaccard_similarity,mode_B,400,0.5930024616782391,0.30277016304514437,0.3870195554078849,0.40750799014875444,8.15015980297509,0.56916046142578125,0.08915054667788058,0.6429193339871365,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w20.csv
10,8,30,jaccard_similarity,bedtools,400,0.578160778399466,0.25197087253217315,0.4339005911974453,0.459779363181993,9.19558726363986,0.659083125,0.05719091673675358,0.6064575692400684,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w30.csv
10,8,30,jaccard_similarity,mode_B,400,0.5591452727561443,0.23514020871849967,0.30334840015862696,0.3280408788431845,6.56081757686369,0.5215678215026855,0.05719091673675358,0.6064575692400684,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w30.csv
10,8,50,jaccard_similarity,bedtools,400,0.6302430296085991,0.19892019214986192,0.27798517103991394,0.3100905727598358,6.201811455196716,0.5414833913894325,0.05719091673675358,0.6064575692400684,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w50.csv
10,8,50,jaccard_similarity,mode_B,400,0.6081887254568672,0.18335730618274051,0.1580133473308075,0.1902883111148876,3.805766222297752,0.409034028430838,0.05719091673675358,0.6064575692400684,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w50.csv
10,8,100,jaccard_similarity,bedtools,400,0.7897631529375643,0.179003823376431,0.08683183875,0.11447030513155937,2.289406102631187,0.3207919375,0.08915054667788058,0.6429193339871365,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w100.csv
10,8,100,jaccard_similarity,mode_B,400,0.7671089400254041,0.17495901390359625,0.12316287994384766,0.15781127792706265,3.156225558541253,0.43442630767822266,0.08915054667788058,0.6429193339871365,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w100.csv
10,8,200,jaccard_similarity,bedtools,400,0.8253594098774698,0.2192164196367612,0.11523678250000001,0.15550829175252137,3.1101658350504273,0.433477,0.28614367297865945,0.7416800461627009,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w200.csv
10,8,200,jaccard_similarity,mode_B,400,0.8028253592291101,0.21937248774744145,0.24360772132873534,0.2659024873710186,5.318049747420372,0.5286407470703125,0.28614367297865945,0.7416800461627009,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w200.csv
10,8,300,jaccard_similarity,bedtools,400,0.8233331244555889,0.2509947521031246,0.12522964625,0.1648603489701267,3.297206979402534,0.4579966875,-0.01623017336776098,0.6542909791921396,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w300.csv
10,8,300,jaccard_similarity,mode_B,400,0.8006081786720926,0.23504972753576064,0.25517998695373534,0.27721943157931406,5.544388631586282,0.5475358963012695,-0.01623017336776098,0.6542909791921396,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w300.csv
10,8,500,jaccard_similarity,bedtools,400,0.819228617342003,0.124137824937313,0.1275493221875,0.16756933003149124,3.3513866006298247,0.4755748125,-0.09424083769633508,0.6086116751671073,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w500.csv
10,8,500,jaccard_similarity,mode_B,400,0.7963331913250659,0.11585891840943255,0.25755791664123534,0.2799412032489313,5.598824064978625,0.5651140213012695,-0.09424083769633508,0.6086116751671073,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k8_w500.csv
10,10,10,jaccard_similarity,bedtools,400,0.8753743542348119,0.7482574232980858,0.6206523840625,0.6442707294521075,12.88541458904215,0.8029955625,0.6931524547803617,0.9050320102772744,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k10_w10.csv
10,10,10,jaccard_similarity,mode_B,400,0.8887127430564927,0.7765311089222766,0.48969794273376466,0.5094092288936576,10.188184577873152,0.6557941436767578,0.6931524547803617,0.9050320102772744,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k10_w10.csv
10,10,20,jaccard_similarity,bedtools,400,0.8855906982966855,0.782723099363091,0.577376016875,0.5993922216181822,11.987844432363644,0.7580736875,0.6931524547803617,0.9050320102772744,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k10_w20.csv
10,10,20,jaccard_similarity,mode_B,400,0.8940479715332591,0.7977389650537795,0.44642157554626466,0.46453753264271147,9.290750652854229,0.6108722686767578,0.6931524547803617,0.9050320102772744,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k10_w20.csv
10,10,30,jaccard_similarity,bedtools,400,0.8625346200708761,0.6778714286603553,0.563157266875,0.5850406716704586,11.70081343340917,0.7541674375,0.6997989083596667,0.8967760679767528,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k10_w30.csv
10,10,30,jaccard_similarity,mode_B,400,0.8643099508546817,0.6868367315585931,0.43220282554626466,0.45027652392390494,9.0055304784781,0.6069660186767578,0.6997989083596667,0.8967760679767528,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k10_w30.csv
10,10,50,jaccard_similarity,bedtools,400,0.7930623205841261,0.551654347712357,0.5183281653125,0.5398786051703606,10.79757210340721,0.7004565,0.5594337319990237,0.8656485538096035,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k10_w50.csv
10,10,50,jaccard_similarity,mode_B,400,0.7864565379060344,0.5511689834679265,0.38737372398376463,0.4054511749499963,8.109023498999925,0.5532550811767578,0.5594337319990237,0.8656485538096035,/home/jbonnie1/interval_sketch/hammock_claude/experiments/maurano_dhs_validation/results/raw_d/hammock_mnmzr_p10_jaccD_k10_w50.csv
