file1,file2,sketch_type,mode,precision,num_hashes,kmer_size,window_size,reg_eq_similarity,jaccard_similarity_ie,containment_AB,containment_BA,cosketch_geom,cosketch_arith,cosketch_max
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.3107900619506836,0.15605871828134574,0.2300981084224259,0.32659756060674855,0.2741340564595932,0.2783478345145872,0.32659756060674855
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.39667224884033203,0.24885986642990368,0.3547965697727117,0.45458488506574146,0.40160323441407625,0.40469072741922657,0.45458488506574146
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.4887404441833496,0.353639307885231,0.4695061289827003,0.5889828501843517,0.5258622044102929,0.529244489583526,0.5889828501843517
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.38353776931762695,0.23137620233520553,0.35489586435912457,0.3993231161342238,0.3764546751722369,0.3771094902466742,0.3993231161342238
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.36475610733032227,0.20968165845273987,0.34531939137179873,0.34803617474680654,0.34667512174792153,0.34667778305930264,0.34803617474680654
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.37880611419677734,0.22605240530576873,0.38978187075250176,0.34986865192225053,0.36928641684187447,0.36982526133737614,0.38978187075250176
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.35128307342529297,0.19371140882246854,0.32173413666798495,0.3274220336439882,0.32456562559908353,0.3245780851559866,0.3274220336439882
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.32027101516723633,0.17793162385324088,0.23445891508298367,0.4246290204382265,0.31552822289724997,0.32954396776060507,0.4246290204382265
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.34011268615722656,0.18238033710290782,0.2889886143610458,0.3308296936480229,0.30920222307873435,0.30990915400453434,0.3308296936480229
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.34751272201538086,0.19059226563363627,0.2970403889331328,0.34719123114175754,0.32113831651255953,0.32211581003744516,0.34719123114175754
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.3297739028930664,0.17477764554716255,0.260855114299377,0.3462592114520876,0.3005386600431739,0.3035571628757323,0.3462592114520876
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.3897862434387207,0.23787120820432378,0.39683377615549875,0.37257701706492147,0.3845141669569854,0.3847053966102101,0.39683377615549875
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.407010555267334,0.2595540497076573,0.456343545021037,0.37573777819250814,0.41408394040181906,0.41604066160677255,0.456343545021037
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.40207815170288086,0.25173077912626607,0.41855913402533546,0.38709438767927534,0.4025194302056796,0.4028267608523054,0.41855913402533546
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.4087333679199219,0.2598377744216773,0.3928138690866167,0.434250148284803,0.4130126885450258,0.41353200868570983,0.434250148284803
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.40249204635620117,0.2517461236486768,0.3890831221280931,0.4163005119788146,0.40246180308725055,0.40269181705345386,0.4163005119788146
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.3957056999206543,0.24437985415024058,0.3811805388646697,0.40509421540022655,0.39295550806321433,0.3931373771324481,0.40509421540022655
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.39969491958618164,0.2487822731545505,0.3812922310508421,0.41720230412826564,0.3988433243024363,0.39924726758955387,0.41720230412826564
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.39461803436279297,0.2435683503048555,0.4203780571506951,0.36672853767673286,0.392638039637349,0.393553297413714,0.4203780571506951
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.2826824188232422,0.1356003727409739,0.18647015832443642,0.33202486675391135,0.2488226868098079,0.2592475125391739,0.33202486675391135
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.359189510345459,0.215891124116382,0.2880276311696035,0.4629468303889016,0.36515952529598833,0.37548723077925256,0.4629468303889016
