axis,tool,sub_b,precision,threads,num_files,num_intervals,run_id,corpus,wall_time,cpu_time,max_rss_mb,sort_time,sketch_creation_time,comparison_time,pair_time,write_time,metrics_wall_time,metrics_cpu_time,metrics_max_rss_mb,jaccard_n_pairs,jaccard_mae_vs_bt,jaccard_max_err_vs_bt,jaccard_mae_vs_hll,jaccard_max_err_vs_hll,jaccard_ie_mae_vs_bt,jaccard_ie_max_err_vs_bt,jaccard_ie_mae_vs_hll,jaccard_ie_max_err_vs_hll,hostname,cpu_model,cpu_count,slurm_job_id,binary_version,git_sha
precision,bedtools,,,8,20,192943,0,maurano,7.48171806,56.996576,19.09375,0,,,,,,,,,,,,,,,,,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
precision,hammock_cpp_B,1,12,8,20,192943,0,maurano,8.21569896,45.960962,26.5742188,0,8.197119,0.000963,0.000646,0.000316,8.19980812,45.902266,26.5742188,380,0.137441449,0.167991844,0.00508573126,0.0148238655,0.0087989947,0.0305242542,0.00879433598,0.0304729598,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
precision,hammock_cpp_B,1,14,8,20,192943,0,maurano,8.30318689,46.353315,28.53125,0,8.286859,0.002498,0.002197,0.0003,8.26614332,46.250145,28.53125,380,0.138251289,0.162560875,0.00246153432,0.00969037356,0.00401158755,0.017529409,0.0040258512,0.0179424209,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
precision,hammock_cpp_B,1,16,8,20,192943,0,maurano,8.63571405,49.110671,31.0351562,0,8.617395,0.007608,0.007361,0.000246,8.62663221,49.136402,30.8710938,380,0.137989079,0.158055624,0.00129047892,0.00523170693,0.00267643859,0.00958892435,0.00271984344,0.00969617905,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
precision,hammock_cpp_B,1,18,8,20,192943,0,maurano,9.20819187,53.459522,36.6054688,0,9.165187,0.02488,0.024631,0.000249,9.22677541,53.764752,36.6054688,380,0.137910335,0.157544455,0.000735933202,0.00273820265,0.00115165752,0.0049739892,0.00115483221,0.0043800069,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
precision,hammock_cpp_B,1,20,8,20,192943,0,maurano,11.7486758,71.734251,72.4960938,0,11.625945,0.10427,0.10398,0.00029,11.8290803,72.517779,72.4960938,380,0.137725147,0.156795528,0.000408152828,0.00210908893,0.000589444315,0.002104435,0.000590773294,0.00208997607,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
precision,hammock_cpp_B,1,22,8,20,192943,0,maurano,21.0878441,114.150542,212.558594,0,20.484379,0.57941,0.57883,0.000579,21.306541,116.570813,212.558594,380,0.137756139,0.156853279,0.000235965036,0.00155381206,0.000277571653,0.00101106506,0.000280210496,0.000774156577,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
precision,hammock_cpp_B,1,24,8,20,192943,0,maurano,51.8471086,231.761882,792.515625,0,48.511388,3.306433,3.306118,0.000315,53.2392154,241.58797,792.558594,380,0.137611534,0.156930696,0,0,0.000154334819,0.000593982294,0,0,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
precision,bedtools,,,8,20,192943,1,maurano,7.5690856,57.092329,19.078125,0,,,,,,,,,,,,,,,,,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
precision,hammock_cpp_B,1,12,8,20,192943,1,maurano,8.13593221,45.621096,26.5742188,0,8.118001,0.001,0.000747,0.000252,8.10743213,45.638539,26.5742188,380,0.137441449,0.167991844,0.00508573126,0.0148238655,0.0087989947,0.0305242542,0.00879433598,0.0304729598,c432,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,48,29670793,0.7.0,def9ce4-dirty
