Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR356UVK	ENCFF440ZNO		frontal cortex	Mus musculus
ENCSR611CEJ	ENCFF771LRH		frontal cortex	Mus musculus
ENCSR193XFZ	ENCFF351FAX		urinary bladder	Mus musculus
ENCSR000CNH	ENCFF104HKW		large intestine	Mus musculus
ENCSR060ALG	ENCFF249RHX		kidney	Mus musculus
ENCSR690LVC	ENCFF232KUW		urinary bladder	Mus musculus
ENCSR133BTF	ENCFF302HNH		thymus	Mus musculus
ENCSR794LIK	ENCFF944DKY		thymus	Mus musculus
ENCSR718NBH	ENCFF038ZLI		spleen	Mus musculus
ENCSR000CNG	ENCFF587XGH		kidney	Mus musculus
ENCSR097TGW	ENCFF873VLP		spleen	Mus musculus
ENCSR706HQD	ENCFF853RSP		kidney	Mus musculus
ENCSR102OZE	ENCFF567XCD		liver	Mus musculus
ENCSR448KDU	ENCFF914CUQ		cerebellum	Mus musculus
ENCSR632BLV	ENCFF626MMT		adrenal gland	Mus musculus
ENCSR641YOC	ENCFF201WZD		cerebellum	Mus musculus
ENCSR603SOS	ENCFF320EUT		spleen	Mus musculus
ENCSR605PMM	ENCFF765OSL		kidney	Mus musculus
ENCSR146PAW	ENCFF700BAG		spleen	Mus musculus
ENCSR113CGA	ENCFF136VVL		kidney	Mus musculus
ENCSR145TJB	ENCFF468ERD		heart	Mus musculus
ENCSR170FAP	ENCFF178TWV		kidney	Mus musculus
ENCSR179HEN	ENCFF917VQD		thymus	Mus musculus
ENCSR409LVQ	ENCFF675GRT		heart	Mus musculus
ENCSR097IUF	ENCFF753SLN		cerebellum	Mus musculus
ENCSR361FXJ	ENCFF112UML		cerebellum	Mus musculus
ENCSR697ADE	ENCFF352SUH		kidney	Mus musculus
ENCSR414VXP	ENCFF620UBH		cerebellum	Mus musculus
ENCSR168HGB	ENCFF884MUG		heart	Mus musculus
ENCSR104ZBW	ENCFF586PPA		heart	Mus musculus
ENCSR671NPO	ENCFF045UHT		heart	Mus musculus
ENCSR863SWY	ENCFF073ADQ		urinary bladder	Mus musculus
ENCSR398LUY	ENCFF792NCD		thymus	Mus musculus
ENCSR702AVR	ENCFF907KPL		lung	Mus musculus
ENCSR536FZI	ENCFF837DKV		lung	Mus musculus
ENCSR671JNA	ENCFF546GWU		thymus	Mus musculus
ENCSR285LPX	ENCFF629EVU		lung	Mus musculus
ENCSR720KMQ	ENCFF405YDD		lung	Mus musculus
ENCSR162TZA	ENCFF833USD		kidney	Mus musculus
ENCSR609SJP	ENCFF792BGN		urinary bladder	Mus musculus
ENCSR197ZAV	ENCFF720TYG		cerebellum	Mus musculus
ENCSR021IRX	ENCFF044YWS		thymus	Mus musculus
ENCSR529VRP	ENCFF236PFN		urinary bladder	Mus musculus
ENCSR581ZXI	ENCFF220UEZ		spleen	Mus musculus
ENCSR939NQH	ENCFF069BFT		kidney	Mus musculus
ENCSR406JCQ	ENCFF536YDE		adrenal gland	Mus musculus
ENCSR365LKY	ENCFF493LZI		adrenal gland	Mus musculus
ENCSR913OPY	ENCFF037QRW		lung	Mus musculus
ENCSR740PXN	ENCFF747ZYU		liver	Mus musculus
ENCSR822RKU	ENCFF688UXH		adrenal gland	Mus musculus
ENCSR105BDM	ENCFF125KUY		urinary bladder	Mus musculus
ENCSR961EFP	ENCFF968PVC		heart	Mus musculus
ENCSR121JAB	ENCFF744YEV		heart	Mus musculus
ENCSR692ASO	ENCFF363BOC		kidney	Mus musculus
ENCSR291KQU	ENCFF078IWC		kidney	Mus musculus
ENCSR176CFX	ENCFF264RCO		cerebellum	Mus musculus
ENCSR956RAI	ENCFF455WGW		kidney	Mus musculus
ENCSR984XSP	ENCFF596VTP		kidney	Mus musculus
ENCSR594HUH	ENCFF840GUS		cerebellum	Mus musculus
ENCSR634ZDI	ENCFF821CBF		kidney	Mus musculus
ENCSR923UKN	ENCFF330EGW		adrenal gland	Mus musculus
ENCSR224ZGJ	ENCFF286UJV		lung	Mus musculus
ENCSR145GGC	ENCFF876JJU		spleen	Mus musculus
ENCSR913LCG	ENCFF677GGG		cerebellum	Mus musculus
ENCSR638QBF	ENCFF811RSF		liver	Mus musculus
ENCSR830IOW	ENCFF994CCO		thymus	Mus musculus
ENCSR759ZVU	ENCFF299OTX		urinary bladder	Mus musculus
ENCSR657WHR	ENCFF437CYP		heart	Mus musculus
ENCSR021LAC	ENCFF113NOH		heart	Mus musculus
ENCSR854UWF	ENCFF465PHI		urinary bladder	Mus musculus
ENCSR455VIA	ENCFF031QJO		adrenal gland	Mus musculus
ENCSR671SQM	ENCFF891NLA		testis	Mus musculus
ENCSR742DUR	ENCFF882UWD		lung	Mus musculus
ENCSR661HDP	ENCFF748OYA		limb	Mus musculus
ENCSR000CNM	ENCFF268DLZ		lung	Mus musculus
ENCSR000COF	ENCFF185BXA		brain	Mus musculus
ENCSR000EJQ	ENCFF326DYD		heart	Homo sapiens
ENCSR292QBA	ENCFF294QXE		midbrain	Mus musculus
ENCSR000CNE	ENCFF200YPA		heart	Mus musculus
ENCSR000CNK	ENCFF992LNJ		liver	Mus musculus
ENCSR000COE	ENCFF941CCB		brain	Mus musculus
ENCSR196VDE	ENCFF175IJC		embryonic facial prominence	Mus musculus
ENCSR066DPD	ENCFF890GCF		kidney	Mus musculus
ENCSR391LJN	ENCFF894UDZ		frontal cortex	Mus musculus
ENCSR802MKV	ENCFF219WTD		liver	Mus musculus
ENCSR482HQE	ENCFF841TDH		lung	Homo sapiens
ENCSR005WPU	ENCFF055RDC		heart	Mus musculus
ENCSR982PCS	ENCFF574IKF		liver	Mus musculus
ENCSR130IPN	ENCFF762QMA		liver	Mus musculus
ENCSR156CLC	ENCFF317LIS		brain	Homo sapiens
ENCSR297YSC	ENCFF776TFE		liver	Mus musculus
ENCSR847RSJ	ENCFF423WOR		lung	Homo sapiens
ENCSR141VGA	ENCFF700LFU		lung	Homo sapiens
ENCSR189YJQ	ENCFF566BKD		heart	Homo sapiens
ENCSR380VCU	ENCFF033RHX		limb	Mus musculus
ENCSR767AJS	ENCFF123TXA		midbrain	Mus musculus
ENCSR775YJL	ENCFF245QOH		embryonic facial prominence	Mus musculus
ENCSR367FCW	ENCFF848XVZ		midbrain	Mus musculus
ENCSR216UMD	ENCFF571DGE		liver	Mus musculus
ENCSR765TON	ENCFF344DDR		liver	Mus musculus
ENCSR969OPE	ENCFF220GXC		stomach	Mus musculus
ENCSR094XAY	ENCFF459KBR		lung	Mus musculus
ENCSR597NVK	ENCFF745NET		adrenal gland	Homo sapiens
ENCSR773SAG	ENCFF900WGQ		midbrain	Mus musculus
ENCSR561FZE	ENCFF204GOK		liver	Mus musculus
ENCSR641ZPF	ENCFF544OHJ		stomach	Homo sapiens
ENCSR978QUT	ENCFF914YUP		testis	Homo sapiens
ENCSR749ILN	ENCFF846XYQ		heart	Mus musculus
ENCSR053ZKP	ENCFF669RIT		adrenal gland	Homo sapiens
ENCSR082JCE	ENCFF410WHC		kidney	Homo sapiens
ENCSR246PXX	ENCFF981ICF		stomach	Homo sapiens
ENCSR953JVX	ENCFF470PMD		kidney	Homo sapiens
ENCSR621ENC	ENCFF853KWU		retina	Homo sapiens
ENCSR095GWE	ENCFF401IRH		stomach	Homo sapiens
ENCSR082XEU	ENCFF676PRF		stomach	Homo sapiens
ENCSR728BAD	ENCFF659HIW		adrenal gland	Homo sapiens
ENCSR006IMH	ENCFF731YGM		stomach	Homo sapiens
ENCSR782SSS	ENCFF033LEB		stomach	Homo sapiens
ENCSR774RCO	ENCFF973MIR		kidney	Homo sapiens
ENCSR325FWM	ENCFF071WCJ		adrenal gland	Homo sapiens
ENCSR941SMM	ENCFF995ETW		stomach	Homo sapiens
ENCSR645GJD	ENCFF931HGM		kidney	Homo sapiens
ENCSR857AEB	ENCFF093THI		large intestine	Homo sapiens
ENCSR945JJB	ENCFF136IYG		lung	Homo sapiens
ENCSR872DUY	ENCFF816OUE		ovary	Homo sapiens
ENCSR533VAF	ENCFF091XLV		heart	Homo sapiens
ENCSR392GCE	ENCFF104PCD		heart	Homo sapiens
ENCSR444VTC	ENCFF665SPS		large intestine	Homo sapiens
ENCSR208DMX	ENCFF289OBR		stomach	Homo sapiens
ENCSR214XJO	ENCFF767JZA		lung	Homo sapiens
ENCSR536NGW	ENCFF227DNW		heart	Homo sapiens
ENCSR437KLY	ENCFF234RER		kidney	Homo sapiens
ENCSR729DRB	ENCFF821YTA		testis	Homo sapiens
ENCSR458AOS	ENCFF742MRZ		adrenal gland	Homo sapiens
ENCSR366EQH	ENCFF936PES		large intestine	Homo sapiens
ENCSR572LDG	ENCFF094OVC		brain	Homo sapiens
ENCSR732RIC	ENCFF608SOD		ovary	Homo sapiens
ENCSR666YVE	ENCFF082MXZ		large intestine	Homo sapiens
ENCSR544KDB	ENCFF361OCI		thymus	Homo sapiens
ENCSR798XLO	ENCFF115GAD		ovary	Homo sapiens
