file1,file2,sketch_type,mode,precision,num_hashes,kmer_size,window_size,reg_eq_similarity,jaccard_similarity_ie,containment_AB,containment_BA,cosketch_geom,cosketch_arith,cosketch_max,ref1,ref2
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.fa,fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8515389967367978,0.8394076794296674,0.9265258912893435,0.8992679713354446,0.9127951898698484,0.912896931312394,0.9265258912893435,NA,NA
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.fa,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8292950312135208,0.8168720460686516,0.8618750281513542,0.9399194893125599,0.9000517409078597,0.900897258731957,0.9399194893125599,NA,NA
fBrain-DS14718.hotspot.twopass.fdr0.05.merge.fa,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8540412835161254,0.8430172989557352,0.8857034551875462,0.9459223617234889,0.9153178159074902,0.9158129084555175,0.9459223617234889,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fBrain-DS14718.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8745702063009755,0.8647816603559273,0.9244266502612051,0.9305704576756939,0.9274934668347687,0.9274985539684495,0.9305704576756939,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8754916914184796,0.8661783126135724,0.9212955262503257,0.9353936224525587,0.9283178117695623,0.9283445743514422,0.9353936224525587,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8536508869940214,0.8432291280677392,0.9244594910503219,0.9056296548858237,0.9149961365141533,0.9150445729680727,0.9244594910503219,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.880135894472562,0.8713675347626426,0.9354111606337003,0.927151176366075,0.9312720107291376,0.9312811684998876,0.9354111606337003,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.871650549384749,0.8621533877014304,0.9234798741389124,0.9284828811270877,0.9259779987685333,0.925981377633,0.9284828811270877,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8529477947794779,0.8427891413351555,0.8747535788891537,0.9584444206755842,0.9156433187395128,0.9165989997823689,0.9584444206755842,NA,NA
