subB,method,wall_seconds,pair_count,mae_vs_subB_1,max_abs_error_vs_subB_1,exactly_equals_other_method,unequal_pairs_vs_other_method,mae_vs_other_method,max_abs_error_vs_other_method
1.0,mixed-stride,10.204971568658948,190,0.0,0.0,,,,
0.3,mixed-stride,9.69044136814773,190,0.00167335594552784,0.006649132613996578,false,190,0.0016379911687303766,0.006419822615713
0.3,mixed-stride-v1,8.369121680036187,190,0.0015969644489075019,0.006571723923324724,false,190,0.0016379911687303766,0.006419822615713
0.1,mixed-stride,4.927783751860261,190,0.0018314836734306447,0.005776925693363438,true,0,0.0,0.0
0.1,mixed-stride-v1,4.874924764037132,190,0.0018314836734306447,0.005776925693363438,true,0,0.0,0.0
0.03,mixed-stride,4.0589928310364485,190,0.001610852886764418,0.005993929602585407,false,190,0.0017131061978278412,0.006562951203742368
0.03,mixed-stride-v1,3.7688574828207493,190,0.0016250282796568115,0.005289124919882482,false,190,0.0017131061978278412,0.006562951203742368
0.01,mixed-stride,3.3687069434672594,190,0.0018031782570177854,0.00808797416805046,true,0,0.0,0.0
0.01,mixed-stride-v1,3.3582187928259373,190,0.0018031782570177854,0.00808797416805046,true,0,0.0,0.0
0.008,mixed-stride,3.29732533544302,190,0.0014247144866107234,0.006568116079891606,true,0,0.0,0.0
0.008,mixed-stride-v1,3.289326535537839,190,0.0014247144866107234,0.006568116079891606,true,0,0.0,0.0
0.005,mixed-stride,3.216842271387577,190,0.0021544473245922236,0.007346952766370152,true,0,0.0,0.0
0.005,mixed-stride-v1,3.214892268180847,190,0.0021544473245922236,0.007346952766370152,true,0,0.0,0.0
0.003,mixed-stride,3.339973511174321,190,0.001625326364598315,0.0064243329060160725,false,190,0.001372986628344287,0.005381815121204558
0.003,mixed-stride-v1,3.1436076387763023,190,0.0015147415439510242,0.005472581038425128,false,190,0.001372986628344287,0.005381815121204558
0.001,mixed-stride,3.0172259770333767,190,0.0016588495066909939,0.005809944321347127,true,0,0.0,0.0
0.001,mixed-stride-v1,3.0262632612138987,190,0.0016588495066909939,0.005809944321347127,true,0,0.0,0.0
