method,size_class,subB,n_reps,threads,wall_median,wall_mean,wall_sd,n_pairs,mae_ie_vs_bedtools,max_err_ie_vs_bedtools
mixed-stride,maurano,1.0,5,8,8.89291787147522,9.02913703918457,0.30028437845503725,190,0.0011516575191659326,0.004973989195185213
mixed-stride,maurano,0.3,5,8,9.307899713516235,9.30911660194397,0.0035407192520222255,190,0.0013154014959477173,0.004048347240842742
mixed-stride,maurano,0.1,5,8,4.652459383010864,4.649501657485962,0.005334856471696917,190,0.0015563198825583754,0.00368301665319104
mixed-stride,maurano,0.03,5,8,3.82600474357605,3.8367034435272216,0.02177776871484382,190,0.0011273261073670247,0.0042167389352461004
mixed-stride,maurano,0.01,5,8,3.2238786220550537,3.206701707839966,0.02777036204588983,190,0.0013936218160259574,0.0045817903917905745
mixed-stride,maurano,0.008,5,8,3.130095958709717,3.13131422996521,0.006137013367979874,190,0.0010872455004089382,0.003928647066981372
mixed-stride,maurano,0.005,5,8,3.0514674186706543,3.0562172412872313,0.010611086923600868,190,0.0017950656479238047,0.004817056916485762
mixed-stride,maurano,0.003,5,8,3.1576812267303467,3.168423318862915,0.023301902790085025,190,0.000990032288734121,0.003948132250397085
mixed-stride,maurano,0.001,5,8,2.945789337158203,2.9474409580230714,0.00450341508140412,190,0.0011836714590177425,0.004938175164297454
