method,size_class,subB,n_reps,threads,wall_median,wall_mean,wall_sd,n_pairs,mae_ie_vs_bedtools,max_err_ie_vs_bedtools
mixed-stride,maurano,1.0,5,8,8.89291787147522,9.02913703918457,0.30028437845503725,190,0.0011516575191659326,0.004973989195185213
mixed-stride,maurano,0.1,5,8,4.652459383010864,4.649501657485962,0.005334856471696917,190,0.0015563198825583754,0.00368301665319104
mixed-stride,maurano,0.01,5,8,3.2238786220550537,3.206701707839966,0.02777036204588983,190,0.0013936218160259574,0.0045817903917905745
mixed-stride,maurano,0.001,5,8,2.945789337158203,2.9474409580230714,0.00450341508140412,190,0.0011836714590177425,0.004938175164297454
