Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR549WAU	ENCFF409ADJ	CTCF	stomach	ENCAB830JLB
ENCSR549WAU	ENCFF166JQQ	CTCF	stomach	ENCAB830JLB
ENCSR549WAU	ENCFF160JXN	CTCF	stomach	ENCAB830JLB
ENCSR549WAU	ENCFF352OPQ	CTCF	stomach	ENCAB830JLB
ENCSR549WAU	ENCFF697PYG	CTCF	stomach	ENCAB830JLB
ENCSR549WAU	ENCFF515HTQ	CTCF	stomach	ENCAB830JLB
ENCSR549WAU	ENCFF593FMT	CTCF	stomach	ENCAB830JLB
ENCSR361KVZ	/experiment-series/ENCSR432TSW	CTCF	stomach	Homo sapiens
ENCSR028YEV	ENCFF613GCH	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF884DQI	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF712ZNQ	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF772IAG	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF595UYF	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF995PAE	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF905KCY	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF569UCD	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF925EOE	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF471MEB	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF741BED	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF518IAE	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF399TIE	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF025FKT	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF156YWX	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF158LCC	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF650MME	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF234VTM	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF881FZQ	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF270XWF	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF566EOC	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF384GUL	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF878IYR	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF093ITC	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF615TSM	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF295PXU	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF189NZE	CTCF	spleen	Homo sapiens
ENCSR028YEV	ENCFF176ERE	CTCF	spleen	Homo sapiens
ENCSR418SBY	ENCFF332NMV	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF657QHM	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF279PCQ	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF338TRQ	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF672FTF	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF371DSR	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF429CPF	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF822VDO	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF874BXA	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF358XOH	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF811CFN	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF273XBZ	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF445MYW	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF847BRE	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF780QOO	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF831GJV	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF574SPR	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF504LSR	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF630JQR	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF410PVV	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF461GJZ	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF709NWF	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF616DGB	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF633LEJ	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF985TTQ	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF739QBQ	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF707HGS	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF843LFB	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF167ZDU	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF187IWI	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF033EQD	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF746LSE	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF116ZIX	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF223NZE	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF726JVA	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF056EAK	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF770KIY	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF139PFU	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF177FQO	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF511MPB	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF811UXN	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF198SSR	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF568JLE	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF912EPM	CTCF	lung	ENCAB247TYO
