Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR000CBJ	ENCFF360LEZ	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF938GUX	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF859MQM	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF196NRY	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF276OUT	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF943RLW	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF743WIY	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF570HPH	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF921GVV	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF324XFL	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF384OYR	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF209LZY	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF826DBQ	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF156XLA	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF481GIC	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF753KAK	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF933GZG	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF957SPH	CTCF	kidney	ENCAB210NHK
ENCSR466TNQ	ENCFF010DRY	CTCF	spleen	Homo sapiens
ENCSR466TNQ	ENCFF243VFT	CTCF	spleen	Homo sapiens
ENCSR466TNQ	ENCFF108ITR	CTCF	spleen	Homo sapiens
ENCSR466TNQ	ENCFF945HIM	CTCF	spleen	Homo sapiens
ENCSR466TNQ	ENCFF697FIF	CTCF	spleen	Homo sapiens
ENCSR466TNQ	ENCFF828YQM	CTCF	spleen	Homo sapiens
ENCSR466TNQ	ENCFF692RFJ	CTCF	spleen	Homo sapiens
