similarity,subB,n_reps,threads,wall_median,wall_mean,wall_sd,n_pairs,mae_vs_bedtools,max_err_vs_bedtools
register-equality,1.0,5,8,8.89510178565979,9.012158966064453,0.2716963854212545,190,0.13791033521021792,0.15754445458984376
inclusion-exclusion,1.0,5,8,8.89291787147522,9.02913703918457,0.30028437845503725,190,0.0011516575191659326,0.004973989195185213
register-equality,0.1,5,8,4.6442883014678955,4.636344623565674,0.01983918255123846,190,0.13761298959703946,0.15715154077148438
inclusion-exclusion,0.1,5,8,4.652459383010864,4.649501657485962,0.005334856471696917,190,0.0015563198825583754,0.00368301665319104
register-equality,0.01,5,8,3.15848445892334,3.1592082500457765,0.005481469306079286,190,0.13700680655490696,0.15641447753456664
inclusion-exclusion,0.01,5,8,3.2238786220550537,3.206701707839966,0.02777036204588983,190,0.0013936218160259574,0.0045817903917905745
register-equality,0.001,5,8,2.915201187133789,2.912966251373291,0.006389773185911,190,0.03892341013970672,0.052342350378154545
inclusion-exclusion,0.001,5,8,2.945789337158203,2.9474409580230714,0.00450341508140412,190,0.0011836714590177425,0.004938175164297454
