similarity,subB,n_reps,threads,wall_median,wall_mean,wall_sd,n_pairs,mae_vs_bedtools,max_err_vs_bedtools
register-equality,1.0,5,8,8.89510178565979,9.012158966064453,0.2716963854212545,190,0.13791033521021792,0.15754445458984376
register-equality,0.3,5,8,9.31859016418457,9.318418502807617,0.013193087546426679,190,0.1373212054109272,0.15720655444335938
register-equality,0.1,5,8,4.6442883014678955,4.636344623565674,0.01983918255123846,190,0.13761298959703946,0.15715154077148438
register-equality,0.03,5,8,3.805457592010498,3.806031513214111,0.0057994578068613,190,0.1373074816066967,0.1560669975509457
register-equality,0.01,5,8,3.15848445892334,3.1592082500457765,0.005481469306079286,190,0.13700680655490696,0.15641447753456664
register-equality,0.008,5,8,3.1133532524108887,3.1143582820892335,0.005091024938001758,190,0.13408990281681493,0.15510771700598985
register-equality,0.005,5,8,3.0112719535827637,3.0168970108032225,0.010596611702642532,190,0.12021204919826614,0.14484436651317725
register-equality,0.003,5,8,3.1137256622314453,3.11497802734375,0.009047947919967811,190,0.09243270455402948,0.11655208976324305
register-equality,0.001,5,8,2.915201187133789,2.912966251373291,0.006389773185911,190,0.03892341013970672,0.052342350378154545
