corpus,method,size_class,num_intervals,subB,rep,run_id,file_a,file_b,jaccard,jaccard_ie,containment_AB,containment_BA,wall_time,cpu_time,max_rss_mb,sketch_creation_time,comparison_time,pair_time,write_time,precision,threads,metrics
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed,0.3105735778808594,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed,0.3973731994628906,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,0.38370513916015625,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,0.36473846435546875,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed,0.3782196044921875,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed,0.351898193359375,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed,0.3203926086425781,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,0.34113311767578125,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,0.3477325439453125,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed,0.3313026428222656,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
