precision,k,w,input,ari_10class,nmi_10class,ari_8class,nmi_8class
18,10,10,hammock_mnmzr_p18_jaccD_k10_w10_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,15,20,hammock_mnmzr_p18_jaccD_k15_w20_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,15,30,hammock_mnmzr_p18_jaccD_k15_w30_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,15,50,hammock_mnmzr_p18_jaccD_k15_w50_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,15,100,hammock_mnmzr_p18_jaccD_k15_w100_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,15,200,hammock_mnmzr_p18_jaccD_k15_w200_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,15,300,hammock_mnmzr_p18_jaccD_k15_w300_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,20,20,hammock_mnmzr_p18_jaccD_k20_w20_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,20,30,hammock_mnmzr_p18_jaccD_k20_w30_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,20,50,hammock_mnmzr_p18_jaccD_k20_w50_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,20,100,hammock_mnmzr_p18_jaccD_k20_w100_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,20,200,hammock_mnmzr_p18_jaccD_k20_w200_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,20,300,hammock_mnmzr_p18_jaccD_k20_w300_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,25,30,hammock_mnmzr_p18_jaccD_k25_w30_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,25,50,hammock_mnmzr_p18_jaccD_k25_w50_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,25,100,hammock_mnmzr_p18_jaccD_k25_w100_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,25,200,hammock_mnmzr_p18_jaccD_k25_w200_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,25,300,hammock_mnmzr_p18_jaccD_k25_w300_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,25,500,hammock_mnmzr_p18_jaccD_k25_w500_full.csv,0.6931524547803617,0.9050320102772742,0.904642409033877,0.9520526555537724
18,10,30,hammock_mnmzr_p18_jaccD_k10_w30_full.csv,0.9101796407185628,0.9609882289630555,0.8619520465003633,0.9457399810545452
18,10,20,hammock_mnmzr_p18_jaccD_k10_w20_full.csv,0.6931524547803617,0.9050320102772742,0.7334340600043169,0.9158648168282252
18,15,500,hammock_mnmzr_p18_jaccD_k15_w500_full.csv,0.6931524547803617,0.9050320102772742,0.5297999587543823,0.8394828553983471
18,20,500,hammock_mnmzr_p18_jaccD_k20_w500_full.csv,0.6931524547803617,0.9050320102772742,0.5297999587543823,0.8394828553983471
18,8,200,hammock_mnmzr_p18_jaccD_k8_w200_full.csv,0.08915054667788058,0.6704438645015228,0.13536726060761442,0.5889454666458142
18,10,200,hammock_mnmzr_p18_jaccD_k10_w200_full.csv,0.08915054667788058,0.6704438645015228,0.13536726060761442,0.5889454666458142
18,10,50,hammock_mnmzr_p18_jaccD_k10_w50_full.csv,0.5594337319990237,0.8656485538096035,0.13536726060761442,0.588945466645814
18,10,100,hammock_mnmzr_p18_jaccD_k10_w100_full.csv,0.513058335367342,0.8313127828910566,0.1110114087937444,0.5462341487614498
18,10,300,hammock_mnmzr_p18_jaccD_k10_w300_full.csv,0.08915054667788058,0.6704438645015228,0.08665555697987437,0.5706916536901282
18,10,500,hammock_mnmzr_p18_jaccD_k10_w500_full.csv,0.025231286795626584,0.6202198344972616,0.08665555697987437,0.5706916536901282
18,8,300,hammock_mnmzr_p18_jaccD_k8_w300_full.csv,0.1351221849544801,0.7062931668026778,0.07832786417463262,0.5593342768906994
18,8,100,hammock_mnmzr_p18_jaccD_k8_w100_full.csv,-0.006728343145500412,0.5837580697501933,0.06229970516600435,0.48740171084116685
18,8,8,hammock_mnmzr_p18_jaccD_k8_w8_full.csv,0.15306980656013458,0.6931433639913976,0.037943853352134335,0.5118592157698452
18,8,10,hammock_mnmzr_p18_jaccD_k8_w10_full.csv,0.15306980656013458,0.6931433639913976,0.037943853352134335,0.5118592157698452
18,8,20,hammock_mnmzr_p18_jaccD_k8_w20_full.csv,0.08915054667788058,0.6429193339871364,0.013588001538264314,0.46914789788548095
18,8,30,hammock_mnmzr_p18_jaccD_k8_w30_full.csv,0.08915054667788058,0.6429193339871364,0.013588001538264314,0.46914789788548095
18,8,50,hammock_mnmzr_p18_jaccD_k8_w50_full.csv,0.05719091673675358,0.6064575692400684,0.013588001538264314,0.46914789788548095
18,8,500,hammock_mnmzr_p18_jaccD_k8_w500_full.csv,-0.10135806558463066,0.5945271608354807,-0.058367643497214836,0.48372341079784764
