"accession","species","tissue"
"ENCFF690KPF","Mus_musculus","liver"
"ENCFF691YSL","Mus_musculus","stomach"
"ENCFF693GDO","Mus_musculus","liver"
"ENCFF693YBX","Homo_sapiens","liver"
"ENCFF695CYM","Homo_sapiens","kidney"
"ENCFF695MAM","Mus_musculus","liver"
"ENCFF695XVX","Mus_musculus","kidney"
"ENCFF696IBU","Mus_musculus","cerebellum"
"ENCFF697GCP","Mus_musculus","liver"
"ENCFF698RCC","Mus_musculus","liver"
"ENCFF698XOW","Mus_musculus","stomach"
"ENCFF699EIP","Mus_musculus","stomach"
"ENCFF699GSF","Mus_musculus","stomach"
"ENCFF702FQK","Mus_musculus","stomach"
"ENCFF702NAP","Mus_musculus","liver"
"ENCFF702NHY","Mus_musculus","lung"
"ENCFF705BQG","Mus_musculus","lung"
"ENCFF705MOD","Mus_musculus","lung"
"ENCFF708KGF","Mus_musculus","cerebellum"
"ENCFF708UPP","Mus_musculus","lung"
"ENCFF709YGS","Mus_musculus","stomach"
"ENCFF710DLX","Mus_musculus","lung"
"ENCFF711WTW","Mus_musculus","liver"
"ENCFF712FUM","Mus_musculus","lung"
"ENCFF712KSK","Mus_musculus","stomach"
"ENCFF713TFC","Mus_musculus","kidney"
"ENCFF717HRV","Mus_musculus","liver"
"ENCFF718KHE","Homo_sapiens","kidney"
"ENCFF719EIL","Mus_musculus","stomach"
"ENCFF722IFZ","Mus_musculus","kidney"
"ENCFF723WPE","Mus_musculus","liver"
"ENCFF724PFV","Mus_musculus","stomach"
"ENCFF724PGZ","Mus_musculus","kidney"
"ENCFF727FEQ","Mus_musculus","stomach"
"ENCFF728WFO","Mus_musculus","kidney"
"ENCFF731QEN","Mus_musculus","stomach"
"ENCFF734KKK","Mus_musculus","stomach"
"ENCFF735EZK","Mus_musculus","lung"
"ENCFF736XMG","Mus_musculus","liver"
"ENCFF737GCH","Mus_musculus","stomach"
"ENCFF737MQG","Mus_musculus","liver"
"ENCFF739UEM","Mus_musculus","liver"
"ENCFF744SEI","Homo_sapiens","lung"
"ENCFF745BKR","Mus_musculus","lung"
"ENCFF745EGO","Mus_musculus","stomach"
"ENCFF746DTE","Mus_musculus","lung"
"ENCFF748DMY","Mus_musculus","kidney"
"ENCFF751ZFC","Mus_musculus","lung"
"ENCFF754GKT","Mus_musculus","liver"
"ENCFF755BAD","Mus_musculus","stomach"
"ENCFF756NLZ","Mus_musculus","liver"
"ENCFF756RRU","Mus_musculus","stomach"
"ENCFF761DSZ","Mus_musculus","liver"
"ENCFF761QUT","Mus_musculus","kidney"
"ENCFF762FPZ","Mus_musculus","liver"
"ENCFF762IFP","Homo_sapiens","stomach"
"ENCFF762JJU","Mus_musculus","lung"
"ENCFF762ZBY","Mus_musculus","liver"
"ENCFF762ZYV","Mus_musculus","liver"
"ENCFF763EEB","Mus_musculus","kidney"
"ENCFF763GXP","Mus_musculus","kidney"
"ENCFF763HQH","Mus_musculus","lung"
"ENCFF764NTQ","Mus_musculus","liver"
"ENCFF765KXQ","Mus_musculus","liver"
"ENCFF765QFH","Mus_musculus","kidney"
"ENCFF766OPX","Homo_sapiens","stomach"
"ENCFF770CKW","Mus_musculus","kidney"
"ENCFF770CQD","Mus_musculus","liver"
"ENCFF770OAL","Mus_musculus","stomach"
"ENCFF772GVP","Mus_musculus","liver"
"ENCFF773JHU","Mus_musculus","liver"
"ENCFF777XWC","Mus_musculus","lung"
"ENCFF778NIX","Mus_musculus","liver"
"ENCFF779AHM","Mus_musculus","stomach"
"ENCFF780AKF","Mus_musculus","liver"
"ENCFF780YUK","Mus_musculus","liver"
"ENCFF782DET","Mus_musculus","lung"
"ENCFF786LRI","Mus_musculus","stomach"
"ENCFF788EQO","Mus_musculus","liver"
"ENCFF788XNX","Mus_musculus","liver"
"ENCFF793OOO","Mus_musculus","lung"
"ENCFF793QZJ","Mus_musculus","cerebellum"
"ENCFF798EMI","Mus_musculus","kidney"
"ENCFF799BPA","Mus_musculus","liver"
"ENCFF802HOR","Mus_musculus","lung"
"ENCFF802JNF","Mus_musculus","kidney"
"ENCFF806BHV","Mus_musculus","liver"
"ENCFF809PRS","Mus_musculus","liver"
"ENCFF810ZGD","Homo_sapiens","lung"
"ENCFF817OZO","Homo_sapiens","liver"
"ENCFF818EYD","Homo_sapiens","lung"
"ENCFF822EAJ","Mus_musculus","liver"
"ENCFF822VOQ","Mus_musculus","liver"
"ENCFF823PTD","Mus_musculus","lung"
"ENCFF823RLW","Mus_musculus","lung"
"ENCFF826QAM","Mus_musculus","kidney"
"ENCFF826QBW","Mus_musculus","kidney"
"ENCFF826QUN","Mus_musculus","lung"
"ENCFF826RCH","Mus_musculus","liver"
"ENCFF827GVE","Mus_musculus","liver"
"ENCFF828FBL","Mus_musculus","kidney"
"ENCFF828RWR","Mus_musculus","cerebellum"
"ENCFF828TIC","Mus_musculus","lung"
"ENCFF830GBI","Mus_musculus","cerebellum"
"ENCFF830TTS","Mus_musculus","liver"
"ENCFF835DXJ","Mus_musculus","stomach"
"ENCFF836EJZ","Mus_musculus","stomach"
"ENCFF837VPZ","Mus_musculus","liver"
"ENCFF838GTB","Mus_musculus","kidney"
"ENCFF838ZVF","Mus_musculus","kidney"
"ENCFF841ZHA","Homo_sapiens","stomach"
"ENCFF843NFP","Mus_musculus","liver"
"ENCFF845OZO","Homo_sapiens","kidney"
"ENCFF847DVN","Homo_sapiens","cerebellum"
"ENCFF847ZCI","Homo_sapiens","lung"
"ENCFF848NLJ","Mus_musculus","liver"
"ENCFF848RAI","Mus_musculus","liver"
"ENCFF849EPJ","Mus_musculus","lung"
"ENCFF850ETL","Mus_musculus","liver"
"ENCFF850EVW","Mus_musculus","stomach"
"ENCFF856AGF","Mus_musculus","cerebellum"
"ENCFF858CCP","Homo_sapiens","cerebellum"
"ENCFF858MEO","Homo_sapiens","lung"
"ENCFF858TZP","Homo_sapiens","stomach"
"ENCFF861CHD","Mus_musculus","kidney"
"ENCFF863FZP","Mus_musculus","liver"
"ENCFF864BWC","Mus_musculus","liver"
"ENCFF864CLA","Mus_musculus","liver"
"ENCFF866VGN","Mus_musculus","lung"
"ENCFF868ZCL","Homo_sapiens","stomach"
"ENCFF870QLX","Mus_musculus","lung"
"ENCFF871SYB","Mus_musculus","liver"
"ENCFF872BRQ","Homo_sapiens","stomach"
"ENCFF872IZI","Mus_musculus","lung"
"ENCFF872UNO","Homo_sapiens","liver"
"ENCFF873ASN","Homo_sapiens","stomach"
"ENCFF874GXD","Mus_musculus","liver"
"ENCFF878ZSR","Homo_sapiens","liver"
"ENCFF880EHI","Homo_sapiens","stomach"
"ENCFF880ZYB","Mus_musculus","stomach"
"ENCFF882CJR","Mus_musculus","lung"
"ENCFF882MMH","Mus_musculus","kidney"
"ENCFF883BFT","Mus_musculus","lung"
"ENCFF883QMV","Mus_musculus","cerebellum"
"ENCFF883SEZ","Mus_musculus","liver"
"ENCFF886PWO","Homo_sapiens","kidney"
"ENCFF888ZZV","Mus_musculus","liver"
"ENCFF890KZM","Mus_musculus","kidney"
"ENCFF892JFT","Mus_musculus","liver"
"ENCFF894ZND","Mus_musculus","liver"
"ENCFF895JZM","Mus_musculus","liver"
"ENCFF896HKX","Mus_musculus","cerebellum"
"ENCFF897GPF","Mus_musculus","lung"
"ENCFF898QLE","Mus_musculus","kidney"
"ENCFF899WIR","Mus_musculus","liver"
"ENCFF900ZEK","Mus_musculus","liver"
"ENCFF902HRA","Mus_musculus","kidney"
"ENCFF903KPF","Mus_musculus","stomach"
"ENCFF904CEW","Mus_musculus","cerebellum"
"ENCFF904NYZ","Mus_musculus","liver"
"ENCFF906NMD","Mus_musculus","liver"
"ENCFF906OSD","Mus_musculus","liver"
"ENCFF906PME","Homo_sapiens","stomach"
"ENCFF907CZS","Mus_musculus","stomach"
"ENCFF908IIB","Mus_musculus","lung"
"ENCFF911HQX","Mus_musculus","liver"
"ENCFF915HJU","Mus_musculus","liver"
"ENCFF917IIH","Mus_musculus","kidney"
"ENCFF918UXE","Homo_sapiens","kidney"
"ENCFF922JQA","Mus_musculus","lung"
"ENCFF924PWN","Mus_musculus","liver"
"ENCFF927WPW","Mus_musculus","lung"
"ENCFF928PPH","Homo_sapiens","kidney"
"ENCFF928ZJJ","Homo_sapiens","lung"
"ENCFF929LCA","Homo_sapiens","liver"
"ENCFF929LOH","Mus_musculus","liver"
"ENCFF932IWY","Mus_musculus","liver"
"ENCFF933AHJ","Homo_sapiens","lung"
"ENCFF934HOM","Mus_musculus","stomach"
"ENCFF936JKG","Mus_musculus","lung"
"ENCFF937NOO","Mus_musculus","liver"
"ENCFF938QXQ","Mus_musculus","kidney"
"ENCFF939IDD","Mus_musculus","liver"
"ENCFF941GMI","Mus_musculus","lung"
"ENCFF944CWK","Mus_musculus","stomach"
"ENCFF945URL","Mus_musculus","liver"
"ENCFF947BSX","Mus_musculus","lung"
"ENCFF949EKP","Homo_sapiens","cerebellum"
"ENCFF955SOT","Mus_musculus","liver"
"ENCFF957VLH","Mus_musculus","liver"
"ENCFF958YUR","Mus_musculus","kidney"
"ENCFF960SBH","Mus_musculus","kidney"
"ENCFF960XTJ","Mus_musculus","liver"
"ENCFF961JPB","Mus_musculus","stomach"
"ENCFF962HUU","Mus_musculus","liver"
"ENCFF962WEB","Mus_musculus","cerebellum"
"ENCFF964WYX","Mus_musculus","stomach"
"ENCFF966XQQ","Mus_musculus","lung"
"ENCFF967MGF","Mus_musculus","cerebellum"
"ENCFF969ODR","Mus_musculus","liver"
"ENCFF969WGB","Mus_musculus","stomach"
"ENCFF971ONK","Mus_musculus","cerebellum"
"ENCFF972EZP","Mus_musculus","liver"
"ENCFF972HKA","Mus_musculus","liver"
"ENCFF973KVG","Mus_musculus","kidney"
"ENCFF974NEA","Homo_sapiens","liver"
"ENCFF975SUE","Mus_musculus","liver"
"ENCFF979DGG","Mus_musculus","lung"
"ENCFF979TLW","Mus_musculus","kidney"
"ENCFF979XNR","Mus_musculus","kidney"
"ENCFF981LWJ","Mus_musculus","lung"
"ENCFF982RWB","Mus_musculus","liver"
"ENCFF982WKZ","Mus_musculus","kidney"
"ENCFF984KTB","Mus_musculus","kidney"
"ENCFF986USM","Mus_musculus","liver"
"ENCFF987EVS","Mus_musculus","liver"
"ENCFF989BEN","Mus_musculus","cerebellum"
"ENCFF991DNC","Mus_musculus","kidney"
"ENCFF991GBV","Mus_musculus","stomach"
"ENCFF991RKC","Mus_musculus","lung"
"ENCFF991WEC","Mus_musculus","kidney"
"ENCFF993HOX","Homo_sapiens","kidney"
"ENCFF994CJF","Mus_musculus","stomach"
"ENCFF995IBF","Mus_musculus","cerebellum"
"ENCFF995KDS","Mus_musculus","lung"
"ENCFF995MCX","Mus_musculus","liver"
"ENCFF996FBY","Mus_musculus","stomach"
"ENCFF996FLJ","Mus_musculus","lung"
"ENCFF996WFF","Homo_sapiens","liver"
"ENCFF997AUJ","Mus_musculus","stomach"
"ENCFF997WOW","Mus_musculus","lung"
"ENCFF999IJT","Mus_musculus","liver"
"ENCFF999QDY","Mus_musculus","kidney"
