corpus,method,size_class,num_intervals,subB,rep,run_id,file_a,file_b,jaccard,wall_time,cpu_time,max_rss_mb,sketch_creation_time,comparison_time,precision,threads
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,0.191957,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,0.183641,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed,0.237877,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed,0.258712,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed,0.259236,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed,0.251358,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed,0.252318,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed,0.249425,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed,0.24471,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed,0.244333,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed,0.135481,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed,0.215611,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed,0.252223,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed,0.612503,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed,0.274958,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,0.501456,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,0.259862,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,0.279561,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed,0.247321,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed,0.305128,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed,0.321958,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed,0.327153,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed,0.323751,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed,0.322471,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed,0.32779,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed,0.321602,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed,0.297134,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed,0.18551,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed,0.295735,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed,0.234683,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed,0.50637,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed,0.253843,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,0.236505,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed,0.220866,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,0.262172,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed,0.278114,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed,0.289965,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed,0.280371,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed,0.285643,7.813109874725342,54.197527,31.9609375,,,,8
maurano,bedtools,maurano,,1.0,0,1,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed,0.273637,7.813109874725342,54.197527,31.9609375,,,,8
